FORMULA,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),Specific Stiffness,Specific Strength,Cost
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,25.0,8.0,719.0,209.0,30.0,26.125,89.875,13.743741803468845
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,25.0,7.6,1290.0,189.0,5.0,24.86842105263158,169.73684210526318,12.121109910361769
Co1 Cr1 Fe1 Ni1 Ti0.2,25.0,7.9,700.0,218.0,36.0,27.594936708860757,88.60759493670885,13.8751301895759
Al0.1 Co1 Cr1 Fe1 Ni1,25.0,8.0,1198.0,220.0,1.5,27.5,149.75,14.314546627205663
Al0.1 Co1 Cr1 Fe1 Ni1,25.0,8.0,1403.0,220.0,1.2,27.5,175.375,14.314546627205663
Al0.1 Co1 Cr1 Fe1 Ni1,25.0,8.0,711.0,220.0,30.3,27.5,88.875,14.314546627205663
Al0.1 Co1 Cr1 Fe1 Ni1,25.0,8.0,356.0,220.0,42.4,27.5,44.5,14.314546627205663
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,1120.0,220.0,1.1,27.5,140.0,11.9871042758269
Al0.25 Cr0.417 Fe0.417 Ni1,25.0,7.3,441.0,196.0,45.0,26.84931506849315,60.41095890410959,9.433992117291325
Co1 Cr1 Ni1,25.0,8.3,1100.0,231.0,23.0,27.831325301204817,132.5301204819277,19.087130201323287
Co1 Cr1 Ni1,25.0,8.3,597.0,231.0,53.0,27.831325301204817,71.92771084337349,19.087130201323287
Co1 Cr1 Ni1,25.0,8.3,346.0,231.0,76.0,27.831325301204817,41.68674698795181,19.087130201323287
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,210.0,220.0,57.0,27.5,26.25,11.9871042758269
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,1150.0,220.0,6.0,27.5,143.75,11.9871042758269
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,1300.0,220.0,0.7,27.5,162.5,11.9871042758269
Nb1 Ta1 Ti1 V1,25.0,9.2,1108.0,134.0,28.3,14.56521739130435,120.43478260869566,70.5
Nb1 Ta1 Ti1 V1,25.0,9.2,1308.0,134.0,27.9,14.56521739130435,142.17391304347828,70.5
Nb1 Ta1 Ti1 V1,25.0,9.2,1373.0,134.0,29.5,14.56521739130435,149.23913043478262,70.5
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,300.0,220.0,52.0,27.5,37.5,11.9871042758269
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,800.0,220.0,39.5,27.5,100.0,11.9871042758269
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,378.7,220.0,54.0,27.5,47.3375,11.9871042758269
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,25.0,8.6,1100.0,231.0,32.0,26.86046511627907,127.90697674418605,21.25328065370297
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,25.0,8.6,950.0,231.0,36.0,26.86046511627907,110.46511627906978,21.25328065370297
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,25.0,8.6,649.0,231.0,42.0,26.86046511627907,75.46511627906978,21.25328065370297
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,25.0,8.6,439.0,231.0,63.0,26.86046511627907,51.04651162790698,21.25328065370297
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,25.0,8.6,309.0,231.0,82.0,26.86046511627907,35.93023255813954,21.25328065370297
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,386.2,220.0,57.5,27.5,48.275,11.9871042758269
Al0.3 Co1 Cr1 Fe1 Ni1,25.0,7.6,159.0,210.0,65.0,27.63157894736842,20.92105263157895,14.025177281481023
Co0.5 Cr0.5 Fe1 Ni1,25.0,8.2,214.0,219.0,77.3,26.707317073170735,26.09756097560976,12.060839004488397
Co0.875 Cr0.625 Fe1 Ni1,25.0,8.3,241.0,220.0,96.2,26.50602409638554,29.03614457831325,14.281535096036652
Co1 Cr0.556 Fe0.667 Ni0.667,25.0,8.3,299.0,222.0,76.1,26.746987951807228,36.024096385542165,16.833259793867025
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,25.0,8.0,1290.0,220.0,1.1,27.5,161.25,12.287109021529002
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,25.0,8.0,270.0,220.0,46.2,27.5,33.75,12.287109021529002
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,293.1,220.0,63.0,27.5,36.6375,11.9871042758269
Hf1 Nb1 Ta1 Ti1 Zr1,25.0,9.9,985.0,107.0,15.7,10.808080808080808,99.4949494949495,271.60616647663596
